新系统-智书,,,,,,,旧系统-泛微（赛事）,,,,旧系统-泛微（MCN）,,,,,,,,,,,,,,,,,,,,,
模块,流程/台账,表名,字段名,是否必填,字段枚举值,备注,表名,字段名,字段枚举值,备注,表名,字段名,字段枚举值,备注,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_fba348aede86465b90d669eda6e956a7（收入/月平均）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_869047e5ebc3425d912890ccd9455a6e（成本/月平均）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,主播流程,,custom_1012_47053c50bd7742e79f39e3f37e718720（毛利/月平均）,Y,,留空,,,,,,,,留空,,,,,,,,,,,,,,,,,,
合同管理,付款记录,创建付款记录所需字段,contract_number（合同编码）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,businessCode（业务编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,paymentAmount（付款金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,currencyCode（币种）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,transactionTime（交易时间）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,paymentPlanUuid（明细行id-付款计划行id）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,bankAccountNumber（银行账号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,付款记录,,counterPartyCode（交易方编码）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,创建收款记录所需字段,contract_number（合同编码）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,collectionPlanId（收款计划ID-同步合同中的收款计划行id）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,receiptAmount（收款金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,currencyCode（收款金额币种）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,businessCode（业务编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,transactionTime（交易日期）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_32a9f1c93e144153828eca344f4f7270（开票编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1012_b14ed42196864937b2cdd8356f1993f1（开票金额）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_c7f44c6730ea4a6ca69ed2a63151a864（开票主体）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_45e12829cc1d45c5a201de8bbdbfda6e（订单编号）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_60457a32f8f449469156456d13c91de8（订单名称）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_b5fdc619ecb14461a2ea7a4ead8c9056（成本中心）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同管理,收款记录,,custom_1_f1bbe1972d5b41e69f36ab2bcb7da499（客户名称）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
